arrondissement,size,rooms,price,vue,gardien,calme,refait,ascenseur,terrasse,ancien,charmant,entretenu,magnifique,exclusivité,superbe,lumineux,beau,traversant,standing,hauteur,pierre,recent,pricem2
19,85.27,3,730000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8561.041398
19,49.24,2,425000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8631.194151
10,88,4,760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8636.363636
20,85,4,735000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8647.058824
19,32.92,1,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8657.351154
12,80.7,3,699000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8661.710037
17,13.85,1,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8664.259928
19,45,2,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8666.666667
10,26.3,1,228000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8669.201521
18,22.37,1,194000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8672.329012
18,36.97,2,321000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8682.715715
18,85,4,742000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8729.411765
19,18.2,1,159000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8736.263736
19,44.43,3,389000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8755.345487
13,31.84,1,279000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8762.562814
20,114,5,999000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8763.157895
18,51.35,3,450000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8763.38851
13,77.71,4,682000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8776.219277
11,90.58,4,795000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8776.771914
13,45,2,395000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8777.777778
14,78.53,3,690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8786.451038
10,29,2,255000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8793.103448
20,31.02,2,273000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8800.773694
19,13.5,1,119000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8814.814815
20,71.45,3,630000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8817.354794
