index,place,location,percent_veg,percent_high_veg,adress,arrondissement,place_type,lat,long
841,SQUARE ALBERT TOURNAIRE,Promenades ouvertes,0.62596932,62.596932,4 X PL MAZAS,12,Square,48.84524088,2.367783769
842,SQUARE ARISTIDE CAVAILLE-COLL,Promenades ouvertes,0.09117043,9.117043,8 PL FRANZ LISZT,10,Square,48.87831777,2.351743691
843,Bois de Vincennes,Bois,0.20133311,20.133311,,12,Bois,48.82948776,2.447738294
844,Square de la rue des Muriers,Promenades ouvertes,0.57961928,57.961928,4 RUE PRUNIERS,20,Square,48.86469557,2.390734918
845,SQUARE CLAUDE CHARPENTIER,Promenades ouvertes,0.60102049,60.102049,14 RUE MONT CENIS,18,Square,48.88750507,2.341800085
846,JARDIN DE L'ABONDANCE,Promenades ouvertes,0.1,10,2 AVENUE DE TOURVILLE,7,Jardin,48.85437773,2.313626663
847,SQUARE MARCEL SEMBAT,Promenades ouvertes,0.03103286,3.103286,2 RUE MARCEL SEMBAT,18,Square,48.89883987,2.338330534
848,JARDIN DE LA RUE DU SIMPLON (JARDIN D'ENFANTS),Promenades ouvertes,0.0575794,5.75794,36 RUE SIMPLON,18,Jardin,48.8940582,2.34975347
849,JARDIN DE L’ESPLANADE DES GRANDS MOULINS,Promenades ouvertes,0.03078925,3.078925,8 RUE MARGUERITE DURAS,13,Jardin,48.82952777,2.381445147
850,Square de la rue Pixérécourt,Promenades ouvertes,0.01027856,1.027856,50 RUE PIXERECOURT,20,Jardin,48.87337829,2.396262113
851,Square des Grès,Promenades ouvertes,0.14200474,14.200474,57 RUE VITRUVE,20,Square,48.85955981,2.406197703
852,SQUARE PAUL PAINLEVE,Promenades ouvertes,0.51453066,51.453066,3 PL PAUL PAINLEVE,5,Square,48.85006748,2.344122796
853,SQUARE JEAN MOULIN,Promenades ouvertes,0.28576898,28.576898,2 RUE NICOLAS TAUNAY,14,Square,48.82391324,2.318773489
854,SQUARE CLAUDE-NICOLAS LEDOUX,Promenades ouvertes,0.21963726,21.963726,10 M PL DENFERT ROCHEREAU,14,Square,48.83429963,2.33151665
855,Jardin de la place Mohamed Bouazizi,Promenades ouvertes,0.7,70,place Mohamed Bouazizi,14,,48.82492124,2.337597268
856,JARDIN DE LA MAISON DE BALZAC,Jardins privatifs,0.05686505,5.686505,47   RUE RAYNOUARD,16,Jardin,48.85516618,2.28075191
857,SQUARE EDOUARD VAILLANT,Promenades ouvertes,0.64500469,64.500469,3 B RUE CHINE,20,Square,48.86552544,2.40021554
858,PROMENADE DE LA FORET LINEAIRE,Promenades ouvertes,0,0,13 QU LOT,19,Promenade,48.89994815,2.378466683
859,Gare RATP Château de Vincennes,Bois,0.15812471,15.812471,Avenue de Nogent,12,Bois,48.84410683,2.441381499
