index,price,adress,arrondissement,m2,rooms,pricem2,lat,long,tree_dist,tree_num,ilot_dist,wrong_num,ilot_num,aire_dist,aire_num
13217,325000,79 av ledru rollin 75012,12,33,1,9848,48.850516,2.375081,1282,42,173,316,317,189,250
25875,172000,22 rue joseph dijon 75018,18,10,1,17200,48.894309,2.345689,143,75,158,440,441,189,175
25876,165000,22 rue joseph dijon 75018,18,16,1,10312,48.894309,2.345689,143,75,158,440,441,189,175
22600,1860000,66 av theophile gautier 75016,16,90,2,20667,48.847886,2.269327,1313,74,155,255,256,189,94
22601,1860000,66 av theophile gautier 75016,16,90,3,20667,48.847886,2.269327,1313,74,155,255,256,189,94
10183,670000,13 rue de la pierre levee 75011,11,65,4,10308,48.867488,2.370284,610,49,147,134,135,189,249
10184,500000,13 rue de la pierre levee 75011,11,50,2,10000,48.867488,2.370284,610,49,147,134,135,189,249
19817,803000,15 rue robert de flers 75015,15,87,4,9230,48.849655,2.284522,1176,7,143,36,37,189,71
19818,405000,15 rue robert de flers 75015,15,44,2,9205,48.849655,2.284522,1176,7,143,36,37,189,71
19819,600000,15 rue robert de flers 75015,15,72,3,8333,48.849655,2.284522,1176,7,143,36,37,189,71
19820,557990,15 rue robert de flers 75015,15,75,2,7440,48.849655,2.284522,1176,7,143,36,37,189,71
15852,462000,85 rue de gergovie 75014,14,55,2,8400,48.830859,2.319094,584,72,129,321,322,189,434
11051,1280700,4 av de taillebourg 75011,11,100,5,12807,48.849377,2.397749,832,58,127,389,390,189,428
11052,874025,4 av de taillebourg 75011,11,69,3,12667,48.849377,2.397749,832,58,127,389,390,189,428
25231,1348300,31 rue guersant 75017,17,100,6,13483,48.881572,2.289034,882,36,116,19,20,189,357
21561,1970000,4 sq leroy beaulieu 75016,16,140,3,14071,48.853945,2.270003,680,128,112,250,251,189,511
32464,453054,1 rue pixerecourt 75020,20,43,2,10536,48.870281,2.395474,627,107,110,276,277,189,417
32465,448050,1 rue pixerecourt 75020,20,45,2,9957,48.870281,2.395474,627,107,110,276,277,189,417
32466,295000,1 rue pixerecourt 75020,20,30,1,9833,48.870281,2.395474,627,107,110,276,277,189,417
32467,581521.06,1 rue pixerecourt 75020,20,61,3,9533,48.870281,2.395474,627,107,110,276,277,189,417
32468,565000,1 rue pixerecourt 75020,20,61,3,9262,48.870281,2.395474,627,107,110,276,277,189,417
32469,295000,1 rue pixerecourt 75020,20,32,1,9219,48.870281,2.395474,627,107,110,276,277,189,417
32470,620000,1 rue pixerecourt 75020,20,68,3,9118,48.870281,2.395474,627,107,110,276,277,189,417
32471,371000,1 rue pixerecourt 75020,20,45,1,8244,48.870281,2.395474,627,107,110,276,277,189,417
32472,236000,1 rue pixerecourt 75020,20,30,1,7867,48.870281,2.395474,627,107,110,276,277,189,417
32473,300000,1 rue pixerecourt 75020,20,39,2,7692,48.870281,2.395474,627,107,110,276,277,189,417
32474,242000,1 rue pixerecourt 75020,20,32,1,7562,48.870281,2.395474,627,107,110,276,277,189,417
24869,720000,179 bd malesherbes 75017,17,56,3,12857,48.886674,2.305159,647,103,109,793,794,189,28
24870,645000,179 bd malesherbes 75017,17,53,3,12170,48.886674,2.305159,647,103,109,793,794,189,28
21781,410000,9 av de la frilliere 75016,16,36,1,11389,48.84073,2.260441,800,74,99,392,393,189,251
21782,400000,9 av de la frilliere 75016,16,36,1,11111,48.84073,2.260441,800,74,99,392,393,189,251
21783,600000,9 av de la frilliere 75016,16,58,2,10345,48.84073,2.260441,800,74,99,392,393,189,251
31214,242000,39 rue stendhal 75020,20,25,1,9680,48.862399,2.400724,172,110,86,524,525,189,59
31215,600000,39 rue stendhal 75020,20,65,3,9231,48.862399,2.400724,172,110,86,524,525,189,59
21917,1395000,29 bd de montmorency 75016,16,107,4,13037,48.853826,2.263084,860,128,53,884,885,189,121
8982,200000,2 rue lacharriere 75011,11,27,1,7407,48.860873,2.375817,299,98,41,314,315,189,140
21324,1394700,9 rue eugene manuel 75016,16,66,3,21132,48.860399,2.262099,599,128,13,394,395,189,467
21325,571400,43 rue francois gerard 75016,16,41,1,13937,48.860399,2.262099,599,128,13,394,395,189,467
21326,1040000,17 rue eugene manuel 75016,16,83,4,12530,48.860399,2.262099,599,128,13,394,395,189,467
21327,1064300,21 rue francois gerard 75016,16,88,3,12094,48.860399,2.262099,599,128,13,394,395,189,467
21328,1726940,24 rue eugene manuel 75016,16,150,5,11513,48.860399,2.262099,599,128,13,394,395,189,467
21329,515000,21 rue francois gerard 75016,16,47,2,10957,48.860399,2.262099,599,128,13,394,395,189,467
21330,550000,21 rue francois gerard 75016,16,51,2,10784,48.860399,2.262099,599,128,13,394,395,189,467
21331,275000,39 rue francois gerard 75016,16,27,1,10185,48.860399,2.262099,599,128,13,394,395,189,467
21332,1002000,2 rue eugene manuel 75016,16,100,4,10020,48.860399,2.262099,599,128,13,394,395,189,467
21333,794250,14 rue eugene manuel 75016,16,80,3,9928,48.860399,2.262099,599,128,13,394,395,189,467
21334,779000,14 rue eugene manuel 75016,16,80,3,9738,48.860399,2.262099,599,128,13,394,395,189,467
21335,910000,21 rue francois gerard 75016,16,96,3,9479,48.860399,2.262099,599,128,13,394,395,189,467
21336,1150000,21 rue francois gerard 75016,16,123,4,9350,48.860399,2.262099,599,128,13,394,395,189,467
21337,510000,4 rue eugene manuel 75016,16,56,2,9107,48.860399,2.262099,599,128,13,394,395,189,467
21338,615000,39 rue francois gerard 75016,16,73,3,8425,48.860399,2.262099,599,128,13,394,395,189,467
21339,240000,43 rue francois gerard 75016,16,29,1,8276,48.860399,2.262099,599,128,13,394,395,189,467
30331,445000,110 av simon bolivar 75019,19,43,2,10349,48.87905,2.37451,529,95,548,29,30,188,552
