index,lat,long,arrondissement,location,circumference_cm,hauteur_m,stade_dev,type,adress,place_plantded,qualification,description
36,48.87368092,2.290252439,16,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,207,10,M,Chêne,Avenue Foch,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le chêne vert est une essence originaire du pourtour méditerranéen appartenant à la famille des Fagacées. Ce vieux chêne vert est remarquable par son port et sa silhouette massive aux longues branches tortueuses s'étalant sur plus de 7 mètres de rayon. Cette essence méditerranéenne est bien adaptée au climat urbain parisien et figure de plus en plus dans les alignements des avenues ainsi que dans les parcs. Le vent assure la pollinisation de ses fleurs discrètes qui apparaissent en avril-mai et produisent de nombreux glands à l’automne.
37,48.85828201,2.362652668,3,SQUARE GEORGES CAIN / 8 RUE PAYENNE,145,10,M,Figuier,Square Georges Caïn,Jardin,Cet arbre est classé remarquable pour sa rareté botanique à Paris.,Le figuier est une essence originaire du Moyen-Orient et des bords de la Méditerranée appartenant à la famille des Moracées. Depuis l’origine des hommes
38,48.86159461,2.291036271,16,JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE,261,20,M,Noisetier de Byzance,Jardin du Trocadéro,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Le noisetier de Byzance est une essence originaire d’Europe de l’Est et d’Asie Mineure appartenant à la famille des Bétulacées. On reconnait l’espèce « de Byzance » à ses noisettes comestibles
39,48.8493165,2.345186353,5,SQUARE MICHEL FOUCAULT / 43 Q RUE DES ECOLES,470,24,M,Platane,Square Michel-Foucault,Jardin,Ces arbres sont classés remarquables pour leur ampleur et leur empreinte dans le paysage.,Le platane d’Orient est une essence de la famille des Platanacées originaire d’Asie Mineure. Ces arbres majestueux expriment de manière fidèle les qualités ornementales et esthétiques de l’essence. Cette espèce se caractérise notamment par une écorce épaisse et rugueuse qui s’accumule sur le tronc et les branches
40,48.8614741,2.354374706,3,JARDIN ANNE FRANCK / 14 IMPASSE BERTHAUD,95,11,J,Marronnier,Jardin Anne Franck,Jardin,Cet arbre est classé remarquable pour sa valeur symbolique.,Originaire d’Asie Mineure et des Balkans
41,48.84935116,2.345032933,5,SQUARE MICHEL FOUCAULT / 43 Q RUE DES ECOLES,415,24,M,Platane,Square Michel-Foucault,Jardin,Ces arbres sont classés remarquables pour leur ampleur et leur empreinte dans le paysage.,Le platane d’Orient est une essence de la famille des Platanacées originaire d’Asie Mineure. Ces arbres majestueux expriment de manière fidèle les qualités ornementales et esthétiques de l’essence. Cette espèce se caractérise notamment par une écorce épaisse et rugueuse qui s’accumule sur le tronc et les branches
42,48.84974594,2.360039367,4,SQUARE BARYE / 2 BOULEVARD HENRI IV,20,5,,Cèdre,Square Barye,Jardin,Cet arbre est classé remarquable pour sa valeur symbolique.,Le cèdre du Liban est une essence originaire du Moyen-Orient appartenant à la famille des Pinacées. Sa ramure remarquable
43,48.87692125,2.346718796,9,SQUARE MONTHOLON / 79 BIS RUE LA FAYETTE,465,25,M,Platane,Square Montholon,Jardin,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence typique de la famille des Platanacées
44,48.85774901,2.339403946,1,QUAI DE L HORLOGE,140,14,A,Saule,Quai de l’Horloge,Voie publique,Cet arbre est classé remarquable pour son ampleur et son empreinte dans le paysage.,Essence originaire de Chine
45,48.86826213,2.29353226,16,SQUARE THOMAS JEFFERSSON,153,13,A,Platane,Square Thomas Jefferson,Jardin,Cet arbre est classé remarquable pour sa valeur symbolique.,Essence typique de la famille des Platanacées
